"","Movie.Name","Year","Season","Run.Time","Budget","Box.Office","Genre","MPAA.Rating","Critic.Score","Sequel"
"166","The Seeker",2007,"Fall",99,68096960.9261939,48121852.3878437,"Fantasy","PG",15,0
"167","Coming 2 America",2021,"Spring",110,69453874.5387454,83344649.4464945,"Comedy","PG-13",49,1
"168","Brüno",2009,"Summer",82,61423776.2237762,202990955.710956,"Comedy","R",69,0
"169","The Muppets",2011,"Fall",103,62767896.8430414,239633881.725211,"Other","PG",95,0
"170","Shorts: The Adventures of the Wishing Rock",2009,"Summer",89,29249417.2494172,42411655.011655,"Other","PG",44,0
"171","Rugrats Go Wild",2003,"Spring",80,42622282.6086956,94450978.2608696,"Animation","PG",40,1
"172","Edge of Darkness",2010,"Winter",117,115066483.264558,116648647.409445,"Action","R",55,0
"173","The Amazing Spider-Man",2012,"Summer",136,430381097.560976,1036603614.98258,"Action","PG-13",72,0
"174","Wonder Woman 1984",2020,"Fall",151,242426584.23493,205577743.431221,"Action","PG-13",58,1
"175","Life
",2017,"Winter",104,74233374.1330069,128628518.971848,"Sci-Fi","R",48,0
"176","Dr. Dolittle 2",2001,"Spring",87,123992094.86166,311928684.359119,"Comedy","PG",42,1
"177","Elektra",2005,"Winter",97,121271633.384537,91556067.5883256,"Action","PG-13",11,0
"178","Gone Girl",2014,"Fall",149,80843683.9881707,491556104.773975,"Thriller","R",87,0
"179","Panic",2000,"Fall",88,1182807185927.22,1419368623112.66,"Drama","R",84,0
"180","Larry the Cable Guy: Health Inspector",2006,"Winter",89,26452876.984127,24274404.7619048,"Comedy","PG-13",4,0
"181","2012 ",2009,"Fall",158,292494172.494173,1157106946.38695,"Action","PG-13",39,0
"182","Breaking In",2018,"Spring",88,14991636.7980884,64214177.6184787,"Thriller","PG-13",64,0
"183","The Darjeeling Limited",2007,"Summer",91,26482151.4712976,53115629.5224313,"Other","R",70,0
"184","Definitely, Maybe",2008,"Winter",111,34968880.6316767,81011240.1300511,"Comedy","PG-13",71,0
"185","Oldboy
",2005,"Winter",120,4818740.39938556,28269943.6763953,"Action","R",71,0
"186","You Will Meet a Tall Dark Stranger",2010,"Summer",100,31643282.8977533,51779917.4690509,"Comedy","R",45,0
"187","Stolen",2012,"Summer",96,47820121.9512195,24593205.5749129,"Action","R",18,0
"188","All Fun and Games",2023,"Summer",76,1201126.7913795,1441352.1496554,"Horror","R",25,0
"189","Empire of Light",2022,"Fall",115,10181585.240861,12217902.2890331,"Drama","R",45,0
"190","Rogue One: A Star Wars Story",2016,"Fall",134,444539041.666667,1384201250,"Sci-Fi","PG-13",84,0
"191","The Promise",2017,"Spring",134,115189718.482252,15870583.4353325,"Drama","PG-13",51,0
"192","Reservation Road",2007,"Fall",98,2269898.6975398,2723878.43704776,"Drama","R",38,0
"193","Lay the Favorite",2012,"Fall",94,20084451.2195122,2049433.79790941,"Comedy","R",18,0
"194","Sleeping with Other People
",2015,"Summer",101,3970886.07594937,4235611.81434599,"Comedy","R",74,0
"195","It Chapter Two",2019,"Summer",169,96919436.8400469,580412475.557294,"Horror","R",62,1
"196","Terror on the Prairie",2022,"Spring",107,2143491.62965494,14055946361.4622,"Other","R",30,0
"197","Dance Flick",2009,"Spring",83,36561771.5617716,46799067.5990676,"Comedy","PG-13",14,0
"198","Alvin and the Chipmunks: The Squeakquel",2009,"Fall",88,102372960.37296,648020839.160839,"Animation","PG",20,1
"199","Infamous",2006,"Fall",118,20228670.6349206,4045734.12698413,"Biography","R",73,0
"200","Mission: Impossible 2",2000,"Spring",124,332463704.994193,995387224.157956,"Action","PG-13",57,1
"201","Life or Something Like It",2002,"Spring",103,69749861.0339077,29469316.286826,"Comedy","PG-13",28,0
"202","The Wolfman",2010,"Winter",103,215749656.121045,205106006.419074,"Horror","R",34,0
"203","Lincoln
",2012,"Fall",150,88808797.9094077,376139416.376307,"Biography","PG-13",89,0
"204","Spider-Man 3",2007,"Spring",139,390422575.976845,1355734828.7506,"Action","PG-13",63,1
"205","Life Itself",2018,"Summer",117,12493030.6650737,9994424.53205894,"Drama","R",13,0
"206","America: Imagine the World Without Her",2014,"Spring",103,6626531.47444022,19084410.6463878,"Other","PG-13",19,0
"207","21 Jump Street",2012,"Winter",109,94752155.923345,274624128.919861,"Action","R",85,0
"208","Eternals
",2021,"Winter",156,273416752.767528,465456715.867159,"Action","PG-13",47,0
"209","The Invasion",2007,"Summer",99,158892908.827786,60833285.0940666,"Sci-Fi","PG-13",19,0
"210","Who Is Cletis Tout?",2002,"Summer",92,15693718.7326292,440655209560.867,"Comedy","R",38,0
"211","A Rainy Day in New York",2020,"Fall",92,30303323.0293663,28848763.5239567,"Comedy","PG-13",48,0
"212","Cobweb",2023,"Summer",88,7292555.51908982,8751066.62290778,"Horror","R",61,0
"213","Texas Chainsaw 3D",2013,"Winter",92,26927038.6266094,63682446.3519313,"Horror","R",19,1
"214","Fatman",2020,"Fall",100,24242658.423493,2060625.96599691,"Action","R",45,0
"215","No Time to Die
",2021,"Winter",163,463604612.546125,896186494.464945,"Action","PG-13",83,1
"216","Avengers: Age of Ultron",2015,"Spring",141,915421603.375527,1859698312.23629,"Action","PG-13",76,1
"217","We Need to Talk About Kevin",2011,"Fall",112,9763895.0644731,15064295.2423299,"Drama","R",76,0
"218","Beyond Borders",2003,"Fall",127,59671195.6521739,19947228.2608696,"Drama","R",14,0
"219","Brooklyn's Finest",2010,"Winter",132,24451627.6937185,52355249.8853737,"Crime","R",44,0
"220","Big Fat Liar",2002,"Winter",88,26156197.8877154,92418565.8699277,"Comedy","PG",45,0
"221","The Painted Veil",2006,"Fall",125,30187400.7936508,41857787.6984127,"Drama","PG-13",70,0
"222","The Wrath of Becky",2023,"Spring",83,177696413412.099,213235696094.519,"Action","R",79,1
"223","The Legend of Zorro",2005,"Fall",130,120468509.984639,228729544.290835,"Action","PG",43,1
"224","Terminator: Dark Fate",2019,"Fall",128,347192412.983966,320324872.897927,"Action","R",70,1
"225","Uncharted",2022,"Winter",116,128609497.779296,436307721.216262,"Action","PG-13",40,0
"226","2 Hearts",2020,"Fall",100,18181993.8176198,1575772.79752705,"Romance","PG-13",18,0
"227","Resident Evil: Retribution",2012,"Summer",96,88808797.9094077,328182665.505226,"Action","R",28,1
"228","Dashcam",2022,"Spring",76,63040981949.6641,75649178339.5969,"Horror","R",36,0
"229","The Human Stain",2003,"Fall",106,51146739.1304348,42451793.4782609,"Drama","R",44,0
"230","Her",2013,"Fall",126,30966094.4206009,65028798.2832618,"Romance","R",94,0
"231","Yogi Bear",2010,"Fall",80,115066483.264558,292700366.804218,"Animation","PG",13,0
"232","Failure to Launch",2006,"Winter",97,77802579.3650794,202597916.666667,"Comedy","PG-13",24,0
"233","Kings",2018,"Spring",92,947668210872.162,1137201853046.59,"Drama","R",13,0
"234","The Loft
",2015,"Winter",103,17207172.9957806,14559915.6118143,"Thriller","R",15,0
"235","The Witch",2016,"Winter",92,5228333.33333333,52806166.6666667,"Horror","R",89,0
"236","The Bad Guys",2022,"Spring",100,116820293.816194,268793850.358729,"Animation","PG",88,0
"237","Country Strong",2010,"Fall",117,28047455.2957359,29629619.4406236,"Drama","PG-13",22,0
"238","The Patriot",2000,"Spring",165,200389082.462253,392216085.946574,"Action","R",62,0
"239","Ricky Stanicky",2024,"Winter",114,49700000,59640000,"Comedy","R",44,0
"240","Abduction",2011,"Summer",105,48819475.3223655,114516540.684749,"Action","PG-13",5,0
"241","Come Play",2020,"Fall",96,10909196.2905719,16000154.5595054,"Horror","PG-13",55,0
"242","Racing Dreams",2010,"Spring",96,78007883998.166,93609460797.7992,"Other","PG",93,0
"243","ShowBusiness: The Road to Broadway",2007,"Spring",102,191312106447.982,229574527737.578,"Other","PG",50,0
"244","The Night Before",2015,"Fall",101,54930590.7172996,69358143.4599156,"Comedy","R",67,0
"245","The Smurfs",2011,"Summer",103,153432636.727434,786272521.120498,"Animation","PG",21,0
"246","White Bird",2024,"Fall",121,2e+07,8800000,"Drama","PG-13",73,1
"247","Lucky You",2007,"Spring",124,83229618.9097926,12711432.7062229,"Romance","PG-13",28,0
"248","The Boss Baby
",2017,"Winter",97,159985720.114239,675779681.762546,"Animation","PG",53,0
"249","Hot Rod",2007,"Summer",88,37831644.9589966,21791027.4963821,"Comedy","PG-13",38,0
"250","Kit Kittredge: An American Girl",2008,"Spring",101,14570366.9298653,25789549.4658616,"Drama","G",80,0
"251","Stone",2010,"Fall",105,31643282.8977533,14814809.7203118,"Drama","R",48,0
"252","Timeline",2003,"Fall",116,136391304.347826,74844728.2608696,"Sci-Fi","PG-13",11,0
"253","Play the Game",2009,"Winter",105,803728893162.393,964474671794.872,"Comedy","PG-13",38,0
