index,Movie Name,Year,Season,Run Time,Budget,Box Office,Genre,MPAA Rating,Audience Score,Sequel
64,MVP: Most Valuable Primate,2000,Fall,93.0,1000000.0,1200000.0,Comedy,PG,13.0,0.0
65,Confidence,2003,Spring,97.0,15000000.0,23000000.0,Crime,R,70.0,0.0
66,Good Luck Chuck,2007,Summer,99.0,25000000.0,59800000.0,Comedy,PG-13,5.0,0.0
67,Brother Bear,2003,Fall,85.0,46000000.0,250400000.0,Animation,G,37.0,0.0
68,You're Next,2013,Summer,94.0,1000000.0,26900000.0,Horror,R,76.0,0.0
69,Crossing Over,2009,Winter,113.0,2916666.666666667,3500000.0,Drama,PG-13,16.0,0.0
70,No One Lives,2013,Spring,86.0,5000000.0,1048704000000.0,Horror,R,48.0,0.0
71,Mary Queen of Scots,2018,Fall,125.0,25000000.0,47000000.0,Biography,R,63.0,0.0
72,College,2008,Summer,94.0,7000000.0,6200000.0,Comedy,R,5.0,0.0
73,Mechanic: Resurrection,2016,Summer,98.0,40000000.0,125800000.0,Action,R,32.0,1.0
74,The Bank Job,2008,Winter,112.0,20000000.0,66099999.99999999,Crime,R,79.0,0.0
75,Sound of Freedom,2023,Summer,131.0,14500000.0,251000000.0,Action,PG-13,57.0,0.0
76,The Darkest Minds,2018,Summer,105.0,34000000.0,41100000.0,Sci-Fi,PG-13,17.0,0.0
77,The Souvenir,2019,Spring,119.0,1666666.6666666667,2000000.0,Drama,R,88.0,0.0
78,Loving Jezebel,2000,Fall,87.0,60158333333.333336,72190000000.0,Comedy,R,40.0,0.0
79,The Blackening,2023,Spring,97.0,5000000.0,18600000.0,Horror,PG-13,80.0,0.0
80,Tiger Eyes,2013,Spring,92.0,22633333333.333336,27160000000.0,Drama,PG-13,77.0,0.0
81,The Empty Man,2020,Fall,137.0,16000000.0,4800000.0,Horror,R,75.0,0.0
82,Supercross,2005,Summer,80.0,30000000.0,3344431000000.0,Action,PG-13,5.0,0.0
83,To Rome with Love,2012,Spring,112.0,17000000.0,73200000.0,Comedy,R,44.0,0.0
84,Deepwater Horizon,2016,Summer,107.0,156000000.0,121800000.0,Thriller,PG-13,83.0,0.0
85,The Twilight Saga: Eclipse,2010,Spring,123.0,68000000.0,739000000.0,Fantasy,PG-13,47.0,1.0
86,Tears of the Sun,2003,Winter,121.0,100500000.0,86500000.0,War,R,33.0,0.0
87,Winchester,2018,Winter,99.0,3500000.0,44000000.0,Horror,PG-13,14.0,0.0
88,Ramona and Beezus,2010,Summer,103.0,15000000.0,27300000.0,Comedy,G,70.0,0.0
89,Lowriders,2017,Spring,99.0,5000000.0,6300000.0,Drama,PG-13,58.0,0.0
90,Paws of Fury: The Legend of Hank,2022,Summer,98.0,45000000.0,42500000.0,Animation,PG,53.0,0.0
91,Five Nights at Freddy's,2023,Fall,109.0,20000000.0,291600000.0,Horror,PG-13,32.0,0.0
92,The Other Man,2009,Summer,84.0,1750000.0,2100000.0,Drama,R,18.0,0.0
93,Sex and the City,2008,Spring,145.0,65000000.0,418800000.0,Romance,R,49.0,0.0
94,Beautiful Disaster,2023,Spring,95.0,5750000.0,6900000.0,Romance,PG-13,25.0,0.0
95,About Last Night,2014,Winter,100.0,13000000.0,50500000.0,Comedy,R,13.0,1.0
96,The Disappointments Room,2016,Summer,85.0,15000000.0,5700000.0,Thriller,R,0.0,0.0
97,Cry Macho,2021,Fall,104.0,33000000.0,16500000.0,Drama,PG-13,59.0,0.0
98,Breaking,2022,Summer,103.0,2333333.333333333,2800000.0,Drama,R,80.0,0.0
99,The Suicide Squad,2021,Fall,132.0,185000000.0,168700000.0,Action,R,90.0,1.0
100,The Front Runner,2018,Fall,114.0,25000000.0,3200000.0,Drama,R,60.0,0.0
101,Case 39,2010,Fall,109.0,26000000.0,28200000.0,Horror,R,30.0,0.0
102,The Cave,2005,Summer,97.0,25000000.0,33300000.0,Horror,PG-13,13.0,0.0
103,Shazam!,2019,Spring,132.0,140000000.0,367800000.0,Action,PG-13,90.0,0.0
104,Keeping the Faith,2000,Spring,128.0,29000000.0,59900000.0,Comedy,PG-13,69.0,0.0
105,The Pale Blue Eye,2022,Fall,130.0,72000000.0,86400000.0,Mystery,R,64.0,0.0
106,John Carter,2012,Winter,132.0,306600000.0,284100000.0,Action,PG-13,52.0,0.0
107,Ice Age: Dawn of the Dinosaurs,2009,Summer,94.0,90000000.0,886700000.0,Animation,PG,45.0,1.0
108,Dune: Part Two,2024,Winter,166.0,190000000.0,715400000.0,Sci-Fi,PG-13,92.0,1.0
109,The Dukes of Hazzard,2005,Summer,104.0,53000000.0,109800000.0,Action,PG-13,14.0,1.0
110,The Snowman,2017,Fall,119.0,35000000.0,43100000.0,Thriller,R,29.0,0.0
111,Witless Protection,2008,Winter,99.0,7500000.0,4200000.0,Comedy,PG-13,0.0,0.0
112,Fantastic Beasts: The Secrets of Dumbledore,2022,Spring,142.0,200000000.0,407200000.0,Fantasy,PG-13,46.0,1.0
113,The Longshots,2008,Summer,95.0,23000000.0,11800000.0,Drama,PG,40.0,0.0
114,The Incredible Hulk,2008,Spring,112.0,212500000.0,265600000.00000003,Action,PG-13,67.0,0.0
115,Children of the Corn,2023,Winter,93.0,479315833333.3334,575179000000.0,Horror,R,11.0,1.0
116,Risen,2016,Winter,107.0,20000000.0,46400000.0,Drama,PG-13,52.0,0.0
117,Trauma Center,2019,Fall,87.0,77473333333.33334,92968000000.0,Action,R,0.0,0.0
118,Robot & Frank,2012,Summer,89.0,2500000.0,4900000.0,Sci-Fi,PG-13,86.0,0.0
119,Fantastic Mr. Fox,2009,Fall,87.0,40000000.0,58100000.0,Animation,PG,93.0,0.0
120,The Wedding Planner,2001,Winter,104.0,45500000.0,94700000.0,Comedy,PG-13,17.0,0.0
121,Mrs Henderson Presents,2005,Fall,103.0,20000000.0,27800000.0,Comedy,R,75.0,0.0
122,Joshua,2007,Summer,106.0,599973333333.3334,719968000000.0,Horror,R,61.0,0.0
123,North Country,2005,Fall,126.0,35000000.0,25200000.0,Drama,R,69.0,0.0
124,The Current War,2019,Fall,107.0,30000000.0,12900000.0,Biography,PG-13,32.0,0.0
125,"I, Robot",2004,Summer,115.0,165000000.0,353100000.0,Sci-Fi,PG-13,56.0,0.0
126,Max Payne,2008,Fall,100.0,35000000.0,85800000.0,Action,PG-13,16.0,0.0
127,The Pacifier,2005,Winter,95.0,56000000.0,198600000.0,Comedy,PG,21.0,0.0
128,Never Back Down,2008,Winter,115.0,20000000.0,41600000.0,Action,PG-13,22.0,0.0
129,Despicable Me 4,2024,Summer,94.0,97000000.0,972000000.0,Animation,PG,56.0,1.0
130,Moonrise Kingdom,2012,Spring,94.0,16000000.0,68800000.0,Adventure,PG-13,93.0,0.0
131,Proof of Life,2000,Fall,135.0,65000000.0,62800000.0,Thriller,PG-13,39.0,0.0
132,The Last Song,2010,Winter,107.0,20000000.0,89000000.0,Drama,PG,21.0,0.0
133,Judy,2019,Summer,118.0,10000000.0,46000000.0,Biography,PG-13,80.0,0.0
134,The Eyes of Tammy Faye,2021,Fall,126.0,3166666.666666667,3800000.0,Biography,PG-13,68.0,0.0
135,Enchanted,2007,Fall,107.0,85000000.0,340500000.0,Fantasy,PG,93.0,0.0
136,The Canyons,2013,Summer,99.0,250000000000.0,265670000000.0,Drama,R,25.0,0.0
137,The Interpreter,2005,Spring,128.0,80000000.0,162900000.0,Thriller,PG-13,56.0,0.0
138,The Conjuring,2013,Summer,112.0,20000000.0,319500000.0,Horror,R,86.0,0.0
139,Nacho Libre,2006,Spring,92.0,35000000.0,99000000.0,Comedy,PG,40.0,0.0
140,Four Good Days,2021,Summer,100.0,720075833333.3334,864091000000.0,Drama,R,53.0,0.0
141,Bruce Almighty,2003,Spring,101.0,81000000.0,484600000.0,Comedy,PG-13,48.0,0.0
142,Knights of the Zodiac,2023,Spring,112.0,60000000.0,7000000.0,Fantasy,PG-13,21.0,0.0
143,Dr. Seuss' The Lorax,2012,Winter,86.0,70000000.0,351400000.0,Animation,PG,54.0,0.0
144,The Illusionist,2006,Summer,110.0,16500000.0,87800000.0,Mystery,PG-13,74.0,0.0
145,Drag Me to Hell,2009,Spring,99.0,30000000.0,90800000.0,Horror,PG-13,92.0,0.0
146,The Tigger Movie,2000,Winter,77.0,30000000.0,96200000.0,Animation,G,76.0,0.0
147,Nicholas Nickleby,2002,Fall,132.0,10000000.0,3700000.0,Drama,PG,78.0,0.0
148,Bulletproof Monk,2003,Spring,104.0,52000000.0,37700000.0,Action,PG-13,23.0,0.0
149,Hobo with a Shotgun,2011,Spring,86.0,3000000.0,834953000000.0,Action,R,65.0,0.0
