"Movie.Name","Year","Season","Run.Time","Critic.Score","Sequel","Log.Budget","Adjusted.MPAA.Rating","Adjusted.Genre","Log.Box.Office"
"Dance Flick",2009,"Spring",83,14,0,17.414513759661,"PG-13","Comedy",17.6613738375926
"Alvin and the Chipmunks: The Squeakquel",2009,"Fall",88,20,1,18.4441331768422,"PG","Animation",20.2894334129983
"Infamous",2006,"Fall",118,73,0,16.8226114944252,"R","Biography",15.2131735819911
"Mission: Impossible 2",2000,"Spring",124,57,1,19.6220412541898,"PG-13","Action",20.7186423894239
"Life or Something Like It",2002,"Spring",103,28,0,18.0604259863184,"PG-13","Comedy",17.1988601541334
"The Wolfman",2010,"Winter",103,34,0,19.1896292940496,"R","Horror",19.1390375079335
"Lincoln",2012,"Fall",150,89,0,18.3019962786111,"PG-13","Biography",19.7454704208641
"Spider-Man 3",2007,"Spring",139,63,1,19.7827402386408,"PG-13","Action",21.0276094533227
"Life Itself",2018,"Summer",117,13,0,16.3406814999914,"R","Drama",16.1175379486772
"America: Imagine the World Without Her",2014,"Spring",103,19,0,15.7065920690751,"PG-13","Other",16.7643823632229
"21 Jump Street",2012,"Winter",109,85,0,18.3667751554763,"R","Action",19.4309139167746
"Eternals",2021,"Winter",156,47,0,19.4265077560445,"PG-13","Action",19.9585296661844
"The Invasion",2007,"Summer",99,19,0,18.8837410038767,"PG-13","Sci-Fi",17.9236476493441
"Who Is Cletis Tout?",2002,"Summer",92,38,0,16.5687711095406,"R","Comedy",26.8115285688683
"A Rainy Day in New York",2020,"Fall",92,48,0,17.2267679354024,"PG-13","Comedy",17.1775776912116
"Cobweb",2023,"Summer",88,61,0,15.8023645938716,"R","Horror",15.9846861506655
"Texas Chainsaw 3D",2013,"Winter",92,19,1,17.1086414931492,"R","Horror",17.9694195150931
"Fatman",2020,"Fall",100,45,0,17.0036243840882,"R","Action",14.5385203615963
"No Time to Die",2021,"Winter",163,83,1,19.9545426187896,"PG-13","Action",20.6136590904248
"Avengers: Age of Ultron",2015,"Spring",141,76,1,20.6348952858349,"PG-13","Action",21.3436801137936
"We Need to Talk About Kevin",2011,"Fall",112,76,0,16.0942019632509,"R","Drama",16.5278379483258
"Beyond Borders",2003,"Fall",127,14,0,17.9043599770413,"R","Drama",16.8086007573556
"Brooklyn's Finest",2010,"Winter",132,44,0,17.0122073440095,"R","Crime",17.773562774596
"Big Fat Liar",2002,"Winter",88,45,0,17.0795967333066,"PG","Comedy",18.3418384457565
"The Painted Veil",2006,"Fall",125,70,0,17.222935203033,"PG-13","Drama",17.5497884235715
"The Wrath of Becky",2023,"Spring",83,79,1,25.9033423885162,"R","Action",26.0856639453101
"The Legend of Zorro",2005,"Fall",130,43,1,18.6068989488146,"PG","Action",19.2480508342561
"Terminator: Dark Fate",2019,"Fall",128,70,1,19.665389688507,"R","Action",19.5848462665688
"Uncharted",2022,"Winter",116,40,0,18.6722912222451,"PG-13","Action",19.893858334972
"2 Hearts",2020,"Fall",100,18,0,16.7159423116364,"PG-13","Romance",14.2702563750017
"Resident Evil: Retribution",2012,"Summer",96,28,1,18.3019962786111,"R","Action",19.6090809183614
"Dashcam",2022,"Spring",76,36,0,24.8670508589874,"R","Horror",25.0493724157814
"The Human Stain",2003,"Fall",106,44,0,17.7502092972141,"R","Drama",17.5638797190226
"Her",2013,"Fall",126,94,0,17.2484034355244,"R","Romance",17.9903407802537
"Yogi Bear",2010,"Fall",80,13,0,18.5610206346272,"PG","Animation",19.494660004836
"Failure to Launch",2006,"Winter",97,24,0,18.1696851423918,"PG-13","Comedy",19.1267338667382
"Kings",2018,"Spring",92,13,0,27.5772702894097,"R","Drama",27.7595918462036
"The Loft",2015,"Winter",103,15,0,16.6608368894873,"R","Thriller",16.4937828048241
"The Witch",2016,"Winter",92,89,0,15.4696031109388,"R","Horror",17.782138534786
"The Bad Guys",2022,"Spring",100,88,0,18.5761473616922,"PG","Animation",19.4094552882218
"Country Strong",2010,"Fall",117,22,0,17.149408465523,"PG-13","Drama",17.2042850757489
"The Patriot",2000,"Spring",165,62,0,19.1157714469597,"R","Action",19.7873234855376
"Ricky Stanicky",2024,"Winter",114,44,0,17.7215154910669,"R","Comedy",17.9038370478608
"Abduction",2011,"Summer",105,5,0,17.703639875685,"PG-13","Action",18.556229830654
"Come Play",2020,"Fall",96,55,0,16.2051166878704,"PG-13","Horror",16.5881089401265
"Racing Dreams",2010,"Spring",96,93,0,25.0800757354276,"PG","Other",25.2623972922216
"ShowBusiness: The Road to Broadway",2007,"Spring",102,50,0,25.9771719965339,"PG","Other",26.1594935533278
"The Night Before",2015,"Fall",101,67,0,17.8215809592624,"R","Comedy",18.0547941233528
"The Smurfs",2011,"Summer",103,21,0,18.8487721799881,"PG","Animation",20.4828140092832
"White Bird",2024,"Fall",121,73,1,16.8112428315183,"PG-13","Drama",15.9902622794484
"Lucky You",2007,"Spring",124,28,0,18.2371138389516,"PG-13","Romance",16.3580123595684
"The Boss Baby",2017,"Winter",97,53,0,18.8905951199291,"PG","Animation",20.3313776663331
"Hot Rod",2007,"Summer",88,38,0,17.4486564785874,"PG-13","Comedy",16.8970088603011
